Percent grade,Points earned (out of 49),Participation total (43),Challenge total (6),1.1 - Participation (9),1.2 - Participation (9),1.3 - Participation (9),1.4 - Participation (16),1.3 - Challenge (6),Fake_First name,Fake_Student ID
87.76,43,100.0,0.0,100.0,100.0,100.0,100.0,0.0,Miss Barbara Hill,VNEH78026399154651
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Daniel Atkinson,RIHM12219692080288
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Terry Hargreaves,GQEM54514145736972
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Matthew Ashton-Gibbs,TSZO86250339311564
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Jodie Wood,QJAU35623872059326
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Bradley Williams,HTHM17052614351471
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Caroline Moss,AMHW52958336693227
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Stephanie Powell,UNKA18859435785728
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Billy Khan-Hopkins,ZQCG34405759773774
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Lynda Noble,KNWH99253248936861
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Brian Patel,BZJU16088700252695
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Fiona Nicholls,AMHW52958336693227
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Molly Hall,ITAK84550683824826
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Miss Zoe Wood,VCTW33757062406001
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Victor Green,ADEJ68066691647368
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dorothy Cook-Brown,YGEF63713821462274
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Gerard Grant,LFJF78502239286626
91.84,45,100.0,33.33,100.0,100.0,100.0,100.0,33.33,Louise Daniels-Ahmed,YWHG40758757313530
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Catherine Tucker,QBYY43412331521101
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Karl Goddard-Gibbs,TOOH06795600394078
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Oliver Smith-Blake,TDBL15867598828206
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Owen Patterson,UJEY82506699213927
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Henry Robinson,JYPM50033518641084
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Dominic Field,SLKK92916568413859
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Louise Yates-Graham,ZJYK66411527506864
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Jean Norris,PPUN01561017758450
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mrs Alison Williams,DOMY18323974179198
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Fiona Nicholls,OEJE58884931338439
75.51,37,72.09,100.0,100.0,100.0,100.0,25.0,100.0,Rachael Cook,GBUW52554427361417
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Louise Shaw,NLFR56547319493343
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cheryl Hunt-Warner,YAKA19842304203797
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Elizabeth Sanderson,GDHW46237826391733
87.76,43,100.0,0.0,100.0,100.0,100.0,100.0,0.0,Marian Goddard,TBNP33348422396990
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Terry Evans,JXRE27958026876301
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Heather Daniels,GHVY63567759726812
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Bethan Cook,RROB55395358697905
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Rachel Woodward,DBXJ63183427839525
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Alison Parker,BGPI10533967056290
89.8,44,100.0,16.67,100.0,100.0,100.0,100.0,16.67,Caroline Perkins,YODN19247949286184
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Brett Hunter,NBKF68997557287640
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Allan Cooper,AMHW52958336693227
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Russell Grant,XCUY60753771057240
87.76,43,100.0,0.0,100.0,100.0,100.0,100.0,0.0,Sharon Bailey,HBFK53003247655617
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Christopher Dawson-Pugh,FUUK21823204150844
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Philip Payne,XUTJ37134791278193
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Fiona Nicholls,TRPO96249176492071
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Leslie Gardner,RWCY42445790424782
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Billy Khan-Hopkins,XTBS82796382790751
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Alison Hughes-Russell,HZBR44125871685861
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Alex Thomson,HFMK71621967235456
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Nigel Hicks,MELG12660243816371
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Sean Robinson,AMHW52958336693227
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Alice Patterson-Miles,LEQY26061326146355
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Joanne Robinson,YQGA28385282260169
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Ms Wendy Owen,EMQG18282774754386
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Christine Miles,KXHM80053139138492
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Elliot Holt,LVLT38930295374772
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Heather Lees,PMQO43607943421209
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Jacob Khan,AMHW52958336693227
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Ms Natasha Boyle,TIVH95630272886540
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dr Stewart Kemp,AEGE55949884218131
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Joel Davies-Reynolds,QPVP41553824253418
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Paul Jennings,VSPZ84329605254248
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Ross Ellis,QDWJ88158745962966
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Kayleigh Black,JSLU18044207873092
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Marie Kemp,OIVK78399224834119
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Ms Irene McDonald,SCQY42716536158379
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Terry Hicks,OZRM17240112496846
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Norman Bull,NKVC50301451350224
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Ms Irene McDonald,QBIH84427720526818
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Elliot O'Sullivan-Daniels,ZMIP20060153525458
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Gavin Taylor,TFTP18217786615070
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Elliot O'Sullivan-Daniels,HJGT70468687031414
95.92,47,100.0,66.67,100.0,100.0,100.0,100.0,66.67,Annette Powell-Payne,YYMH79069521765680
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Emily King,RYYW68913132343922
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Sandra Thompson,AVZS20038394939819
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Diane Crawford,XLGR64246980532098
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Francesca Clark,BBCK30786826885178
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Michael Walters-Riley,NZRL58664128587623
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sara Lord,QPMI66166079054386
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Rachel Hargreaves,KWEV64324207167509
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Jade McCarthy,QZHY56819130866728
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Valerie Mitchell,BVDG76239524608752
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Carl Taylor,FXCH41143255804726
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Hazel Lloyd,SFOS28726609164959
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Stephanie Powell,WQDK00394572911543
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Joseph James,ENBR71120793225329
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Christine Miles,PUPM11844203421827
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Miss Samantha Weston,EMQZ18740552845072
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Melissa Scott,SUTP65691400375700
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Charlie Lewis,BYYY79665964300928
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Gareth Davies,DCQF43642485036713
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dr Melissa Scott,WGLV06442949694048
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Ms Mary Bishop,AMHW52958336693227
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Jemma Jackson,XMQX54434510329042
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Lynne Bennett,ILCN79094224329564
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Colin Davies,PXTS29225923780235
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Stephanie Powell,YGPI76472955504417
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Katie Rogers,EKYO34300014739963
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Dylan Matthews-Clark,TJRY48004973564412
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Tom Smith,OSUR34292038771470
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Malcolm Tomlinson,VSRQ62103417350149
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Marc Holmes,WCUE19751393561297
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Jessica Phillips,KQJC11099300286716
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Miss Jennifer Perry,WRYS01483521873069
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Clive Ferguson,WPWJ72948544634874
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Mr Paul Edwards,YCNQ95956509739752
100.0,49,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Stewart Reeves,PZEA79520099899649
